date,symbol,margin_balance,short_balance,day_trade_volume,total_volume
2026-07-13,00400A,12353.0,,,34113465.0
2026-07-13,00401A,1101.0,,,6538409.0
2026-07-13,00402A,3451.0,,,5863745.0
2026-07-13,00403A,107084.0,,,163473334.0
2026-07-13,00404A,2358.0,,,9510671.0
2026-07-13,00405A,23114.0,,,91288873.0
2026-07-13,00406A,5734.0,,,9761709.0
2026-07-13,00407A,42809.0,,,63470781.0
2026-07-13,0050,13306.0,,,56650627.0
2026-07-13,0051,3.0,,,65594.0
2026-07-13,0052,10931.0,,,18161683.0
2026-07-13,0053,12.0,,,37037.0
2026-07-13,0055,193.0,,,307436.0
2026-07-13,0056,7865.0,,,26405830.0
2026-07-13,0061,15.0,,,124339.0
2026-07-13,006205,50.0,,,88719.0
2026-07-13,006206,8.0,,,62150.0
2026-07-13,006207,2.0,,,349970.0
2026-07-13,006208,317.0,,,3431410.0
2026-07-13,00631L,228043.0,,,196478778.0
2026-07-13,00632R,290031.0,,,117012406.0
2026-07-13,00633L,7510.0,,,2768354.0
2026-07-13,00634R,2120.0,,,440000.0
2026-07-13,00635U,6983.0,,,2830784.0
2026-07-13,00636,122.0,,,201366.0
2026-07-13,00637L,84241.0,,,24375145.0
2026-07-13,00638R,719.0,,,33000.0
2026-07-13,00639,529.0,,,616788.0
2026-07-13,00640L,217.0,,,64688.0
2026-07-13,00641R,10501.0,,,2001300.0
2026-07-13,00642U,3137.0,,,8403033.0
2026-07-13,00643,886.0,,,3224771.0
2026-07-13,00645,20.0,,,74898.0
2026-07-13,00646,65.0,,,1143469.0
2026-07-13,00647L,43.0,,,15505.0
2026-07-13,00648R,10969.0,,,461000.0
2026-07-13,00650L,16672.0,,,6570964.0
2026-07-13,00651R,1475.0,,,217827.0
2026-07-13,00652,55.0,,,89788.0
2026-07-13,00653L,2332.0,,,293255.0
2026-07-13,00654R,547.0,,,124300.0
2026-07-13,00655L,2072.0,,,1905227.0
2026-07-13,00656R,153.0,,,1164028.0
2026-07-13,00661,13.0,,,112078.0
2026-07-13,00662,1126.0,,,1643754.0
2026-07-13,00663L,9253.0,,,9347203.0
2026-07-13,00664R,90396.0,,,44026895.0
2026-07-13,00665L,75212.0,,,29745361.0
2026-07-13,00666R,371.0,,,180410.0
2026-07-13,00669R,14460.0,,,940055.0
2026-07-13,00670L,1135.0,,,418836.0
2026-07-13,00671R,126596.0,,,3594900.0
2026-07-13,00673R,43277.0,,,18271159.0
2026-07-13,00674R,341.0,,,240422.0
2026-07-13,00675L,2905.0,,,1706689.0
2026-07-13,00676R,18900.0,,,6462556.0
2026-07-13,00678,30.0,,,623270.0
2026-07-13,00680L,66948.0,,,7900202.0
2026-07-13,00681R,7.0,,,295140.0
2026-07-13,00682U,12.0,,,32560.0
2026-07-13,00683L,105.0,,,30998.0
2026-07-13,00684R,21.0,,,120000.0
2026-07-13,00685L,130908.0,,,311276564.0
2026-07-13,00686R,15106.0,,,10342860.0
2026-07-13,00688L,25123.0,,,2228762.0
2026-07-13,00690,95.0,,,312464.0
2026-07-13,00692,79.0,,,985336.0
2026-07-13,00693U,2475.0,,,952721.0
2026-07-13,00700,185.0,,,513787.0
2026-07-13,00701,29.0,,,682750.0
2026-07-13,00702,1.0,,,111605.0
2026-07-13,00703,1.0,,,64557.0
2026-07-13,00706L,7550.0,,,531543.0
2026-07-13,00708L,11071.0,,,3298497.0
2026-07-13,00709,3.0,,,117256.0
2026-07-13,00710B,10.0,,,173761.0
2026-07-13,00711B,3.0,,,101369.0
2026-07-13,00712,15048.0,,,13629875.0
2026-07-13,00713,247.0,,,8857303.0
2026-07-13,00714,2.0,,,107172.0
2026-07-13,00715L,13160.0,,,15744738.0
2026-07-13,00728,2.0,,,75815.0
2026-07-13,00730,13.0,,,100393.0
2026-07-13,00731,3.0,,,546514.0
2026-07-13,00733,72.0,,,1211909.0
2026-07-13,00735,4021.0,,,3236512.0
2026-07-13,00737,58.0,,,89609.0
2026-07-13,00738U,13398.0,,,4303223.0
2026-07-13,00752,861.0,,,2522125.0
2026-07-13,00753L,90238.0,,,13750203.0
2026-07-13,00757,476.0,,,2063006.0
2026-07-13,00762,55.0,,,277940.0
2026-07-13,00763U,1514.0,,,426442.0
2026-07-13,00770,59.0,,,136071.0
2026-07-13,00771,1.0,,,6255.0
2026-07-13,00783,383.0,,,198467.0
2026-07-13,00830,5218.0,,,7961335.0
2026-07-13,00850,16.0,,,649474.0
2026-07-13,00851,2.0,,,2934.0
2026-07-13,00852L,39.0,,,40689.0
2026-07-13,00861,25.0,,,139452.0
2026-07-13,00875,1.0,,,40330.0
2026-07-13,00876,14.0,,,258752.0
2026-07-13,00878,2402.0,,,23796926.0
2026-07-13,00881,1369.0,,,5510986.0
2026-07-13,00882,3614.0,,,7059116.0
2026-07-13,00885,492.0,,,2120254.0
2026-07-13,00891,4164.0,,,9394684.0
2026-07-13,00892,1368.0,,,10376452.0
2026-07-13,00893,68.0,,,1532016.0
2026-07-13,00894,587.0,,,1032184.0
2026-07-13,00895,69.0,,,76360.0
2026-07-13,00896,1568.0,,,1327011.0
2026-07-13,00897,660.0,,,1816255.0
